#separator:tab
#html:true
奈良市の漢国神社境内にある林神社の祭神は、何に関係があるか	饅頭
春日大社の摂社で、令和 4 年 (2022) に式年造替が行われた神社はどれか	若宮神社
大和神社の神宮寺として創建され、「釜口大師」として親しまれる寺院はどれか。	長岳寺
"「笛吹神社」とも呼ばれることから、フルートなどの楽器の上達を願う人々の崇敬を集めている
 　葛城市の神社はどれか"	葛木坐火雷神社
"光仁天皇を呪詛したとして皇后を廃され、宇智 ( 五條市 ) に幽閉されて亡くなった井上内親王を
 　祭神に含む、五條市にある神社はどれか。"	御霊神社
吉野神宮で主祭神として祀られているのは誰か	後醍醐天皇
"吉野郡野迫川村にある標高 1260m の山頂に鎮座し、「火の神」「カマドの神」として信仰されている
 　神社はどれか。"	荒神社
唐より帰朝した玄昉が渡航中に唱えた経典の名をもって命名された寺院はどれか。	海龍王寺
西大寺創建のきっかけとなる四天王像の造立を発願したのは誰か。	孝謙太上天皇
沢庵和尚を開山として創建され、本堂の裏に柳生家代々の墓地がある寺院はどれか	芳徳寺
地蔵菩薩を本尊とし、安産祈願の寺として有名な寺院はどれか。	帯解寺
行基の墓誌や忍性の銅製骨蔵器が発見された生駒市の寺院はどれか	竹林寺
舎人親王が『日本書紀』の完成と自らの厄除けを祈願して建立したといわれる寺院はどれか	松尾寺
「斑鳩御所」と呼ばれた斑鳩町の尼寺はどれか	中宮寺
聖徳太子の「片岡山飢人伝説」に由来し、境内に３基の古墳がある寺院はどれか	達磨寺
東西の古塔が残り、「聖衆来迎練供養会式」の行われる寺院はどこか。	當麻寺
インドから運ばれた巨大な観音立像があり、「南法華寺」とも呼ばれる寺院はどれか	壷阪寺
本願寺八世蓮如が創建したと伝えられ、「飯貝御坊」と呼ばれている寺院はどれか	本善寺
